"Modified_Value","Predicted_Demand","Feature"
3,NA,"overall_rating"
3.1,NA,"overall_rating"
3.2,NA,"overall_rating"
3.3,NA,"overall_rating"
3.4,NA,"overall_rating"
3.5,NA,"overall_rating"
3.6,NA,"overall_rating"
3.7,NA,"overall_rating"
3.8,NA,"overall_rating"
3.9,NA,"overall_rating"
4,NA,"overall_rating"
4.1,NA,"overall_rating"
4.2,NA,"overall_rating"
4.3,NA,"overall_rating"
4.4,NA,"overall_rating"
4.5,NA,"overall_rating"
4.6,NA,"overall_rating"
4.7,NA,"overall_rating"
4.8,NA,"overall_rating"
4.9,NA,"overall_rating"
5,NA,"overall_rating"
3,NA,"cleanliness_rating"
3.1,NA,"cleanliness_rating"
3.2,NA,"cleanliness_rating"
3.3,NA,"cleanliness_rating"
3.4,NA,"cleanliness_rating"
3.5,NA,"cleanliness_rating"
3.6,NA,"cleanliness_rating"
3.7,NA,"cleanliness_rating"
3.8,NA,"cleanliness_rating"
3.9,NA,"cleanliness_rating"
4,NA,"cleanliness_rating"
4.1,NA,"cleanliness_rating"
4.2,NA,"cleanliness_rating"
4.3,NA,"cleanliness_rating"
4.4,NA,"cleanliness_rating"
4.5,NA,"cleanliness_rating"
4.6,NA,"cleanliness_rating"
4.7,NA,"cleanliness_rating"
4.8,NA,"cleanliness_rating"
4.9,NA,"cleanliness_rating"
5,NA,"cleanliness_rating"
3,NA,"communication_rating"
3.1,NA,"communication_rating"
3.2,NA,"communication_rating"
3.3,NA,"communication_rating"
3.4,NA,"communication_rating"
3.5,NA,"communication_rating"
3.6,NA,"communication_rating"
3.7,NA,"communication_rating"
3.8,NA,"communication_rating"
3.9,NA,"communication_rating"
4,NA,"communication_rating"
4.1,NA,"communication_rating"
4.2,NA,"communication_rating"
4.3,NA,"communication_rating"
4.4,NA,"communication_rating"
4.5,NA,"communication_rating"
4.6,NA,"communication_rating"
4.7,NA,"communication_rating"
4.8,NA,"communication_rating"
4.9,NA,"communication_rating"
5,NA,"communication_rating"
0,NA,"reviews"
10,NA,"reviews"
20,NA,"reviews"
30,NA,"reviews"
40,NA,"reviews"
50,NA,"reviews"
60,NA,"reviews"
70,NA,"reviews"
80,NA,"reviews"
90,NA,"reviews"
100,NA,"reviews"
110,NA,"reviews"
120,NA,"reviews"
130,NA,"reviews"
140,NA,"reviews"
150,NA,"reviews"
160,NA,"reviews"
170,NA,"reviews"
180,NA,"reviews"
190,NA,"reviews"
200,NA,"reviews"
20,NA,"price"
30,NA,"price"
40,NA,"price"
50,NA,"price"
60,NA,"price"
70,NA,"price"
80,NA,"price"
90,NA,"price"
100,NA,"price"
110,NA,"price"
120,NA,"price"
130,NA,"price"
140,NA,"price"
150,NA,"price"
160,NA,"price"
170,NA,"price"
180,NA,"price"
190,NA,"price"
200,NA,"price"
210,NA,"price"
220,NA,"price"
230,NA,"price"
240,NA,"price"
250,NA,"price"
260,NA,"price"
270,NA,"price"
280,NA,"price"
290,NA,"price"
300,NA,"price"
