"Modified_Value","Predicted_Demand","Feature"
3,NA,"cleanliness_rating"
3.1,NA,"cleanliness_rating"
3.2,NA,"cleanliness_rating"
3.3,NA,"cleanliness_rating"
3.4,NA,"cleanliness_rating"
3.5,NA,"cleanliness_rating"
3.6,NA,"cleanliness_rating"
3.7,NA,"cleanliness_rating"
3.8,NA,"cleanliness_rating"
3.9,NA,"cleanliness_rating"
4,NA,"cleanliness_rating"
4.1,NA,"cleanliness_rating"
4.2,NA,"cleanliness_rating"
4.3,NA,"cleanliness_rating"
4.4,NA,"cleanliness_rating"
4.5,NA,"cleanliness_rating"
4.6,NA,"cleanliness_rating"
4.7,NA,"cleanliness_rating"
4.8,NA,"cleanliness_rating"
4.9,NA,"cleanliness_rating"
5,NA,"cleanliness_rating"
