"Modified_Value","Predicted_Demand","Feature"
3,NA,"communication_rating"
3.1,NA,"communication_rating"
3.2,NA,"communication_rating"
3.3,NA,"communication_rating"
3.4,NA,"communication_rating"
3.5,NA,"communication_rating"
3.6,NA,"communication_rating"
3.7,NA,"communication_rating"
3.8,NA,"communication_rating"
3.9,NA,"communication_rating"
4,NA,"communication_rating"
4.1,NA,"communication_rating"
4.2,NA,"communication_rating"
4.3,NA,"communication_rating"
4.4,NA,"communication_rating"
4.5,NA,"communication_rating"
4.6,NA,"communication_rating"
4.7,NA,"communication_rating"
4.8,NA,"communication_rating"
4.9,NA,"communication_rating"
5,NA,"communication_rating"
