"Modified_Value","Predicted_Demand","Feature"
"Entire home/apt",0.477580974137912,"room_type"
"Private room",0.650792900420669,"room_type"
"Shared room",0.882348332565965,"room_type"
"True (t)",0.433185730603434,"is_superhost"
"False (f)",0.683094675315501,"is_superhost"
"Apartment",0.471976217672389,"property_type"
"Condominium",0.558491125525836,"property_type"
"House",0.717935415707456,"property_type"
"Loft",0.713525419571229,"property_type"
"Bed and breakfast",0.786464386758047,"property_type"
