"Modified_Value","Predicted_Demand","Feature"
"3",0.383185730603434,"overall_rating"
"3.1",0.408094675315502,"overall_rating"
"3.2",0.476761249424474,"overall_rating"
"3.3",0.447115251742737,"overall_rating"
"3.4",0.463878632054828,"overall_rating"
"3.5",0.526451949606498,"overall_rating"
"3.6",0.503827486179676,"overall_rating"
"3.7",0.467048162961804,"overall_rating"
"3.8",0.499394414443194,"overall_rating"
"3.9",0.521630140897001,"overall_rating"
"4",0.586722453923184,"overall_rating"
"4.1",0.575794414811721,"overall_rating"
"4.2",0.592023143517822,"overall_rating"
"4.3",0.598320481478354,"overall_rating"
"4.4",0.593324765957378,"overall_rating"
"4.5",0.678607394104092,"overall_rating"
"4.6",0.654935514346877,"overall_rating"
"4.7",0.596001485301111,"overall_rating"
"4.8",0.69104067704691,"overall_rating"
"4.9",0.670816257768162,"overall_rating"
"5",0.667965288820395,"overall_rating"
